[2024-11-10 00:38:21.645]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-10 00:38:21.660]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-10 00:38:21.734]	 Already installed "tmux-cpu"
[2024-11-10 00:38:21.734]	 Already installed "tmux-power"
[2024-11-10 00:38:21.737]	 Already installed "tmux-copycat"
[2024-11-10 00:38:21.752]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-10 00:38:21.782]	 Updating all plugins!
[2024-11-10 00:38:21.782]	 
[2024-11-10 00:38:22.976]	   "tmux-copycat" update success
[2024-11-10 00:38:22.976]	   "tmux-power" update success
[2024-11-10 00:38:22.976]	   "tmux-cpu" update success
[2024-11-10 00:38:22.981]	     | Already up to date.
[2024-11-10 00:38:22.981]	     | Already up to date.
[2024-11-10 00:38:22.981]	     | Already up to date.
[2024-11-10 00:38:22.997]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-10 00:38:23.068]	 Done.

[2024-11-10 15:04:04.806]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-10 15:04:04.855]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-10 15:04:11.354]	 Already installed "tmux-power"
[2024-11-10 15:04:11.354]	 Already installed "tmux-copycat"
[2024-11-10 15:04:11.355]	 Already installed "tmux-cpu"
[2024-11-10 15:04:11.395]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-10 15:04:12.606]	 Updating all plugins!
[2024-11-10 15:04:12.606]	 
[2024-11-10 15:04:24.725]	   "tmux-power" update fail
[2024-11-10 15:04:24.725]	   "tmux-cpu" update fail
[2024-11-10 15:04:24.727]	   "tmux-copycat" update fail
[2024-11-10 15:04:24.737]	     | Your configuration specifies to merge with the ref 'refs/heads/master'
[2024-11-10 15:04:24.737]	     | from the remote, but no such ref was fetched.
[2024-11-10 15:04:24.739]	     | Your configuration specifies to merge with the ref 'refs/heads/master'
[2024-11-10 15:04:24.739]	     | from the remote, but no such ref was fetched.
[2024-11-10 15:04:24.739]	     | Your configuration specifies to merge with the ref 'refs/heads/master'
[2024-11-10 15:04:24.739]	     | from the remote, but no such ref was fetched.
[2024-11-10 15:04:24.763]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-10 15:04:27.48[2024-11-10 15:41:20.010]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu wfxr/tmux-power
[2024-11-10 15:41:20.045]	 Invoking /home/adophilus/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-10 15:41:20.110]	 Already installed "tmux-power"
[2024-11-10 15:41:20.111]	 Already installed "tmux-copycat"
